Cover_Thickness_mm,Reinforcement_Diameter_mm,Water_Cement_Ratio,Temperature_K,Relative_Humidity_pct,Chloride_Ion_Content_kgm3,Time_Years,log_Corrosion_Rate_uAcm2
30.0,20.0,0.4,303.0,80.0,5.8,0.35,0.3576751435722707
65.0,20.0,0.45,287.0,75.0,12.25,16.0,0.07510840013015994
20.0,14.0,0.55,293.0,95.0,0.217,0.3,0.5013817706313266
70.0,16.0,0.42,288.0,63.0,0.78,0.9,0.06952699548399605
65.0,20.0,0.45,287.0,75.0,12.25,16.0,0.1906211860545892
50.0,20.0,0.4,313.0,80.0,4.28,0.35,0.28216764591119936
50.0,20.0,0.5,303.0,80.0,5.8,0.35,0.18979439876217294
10.0,14.0,0.35,313.0,85.0,0.215,0.3,0.5031972011962382
51.0,16.0,0.42,299.0,70.0,0.63,0.9,0.08984161807615415
50.0,20.0,0.4,313.0,80.0,5.8,0.35,0.14323503463665888
20.0,14.0,0.35,323.0,45.0,0.231,0.3,0.2468608591812206
10.0,14.0,0.35,323.0,45.0,0.215,0.3,0.26390231183523766
50.0,20.0,0.4,293.0,80.0,5.8,0.35,0.25309140407937597
50.0,20.0,0.4,293.0,80.0,5.8,0.35,0.1612689986595899
51.0,16.0,0.41,296.0,70.0,1.43,1.0,0.08158090865098433
20.0,14.0,0.35,283.0,65.0,0.142,0.3,0.13889286918825905
50.0,20.0,0.4,293.0,80.0,5.8,0.35,0.30232508828667787
50.0,25.0,0.4,303.0,80.0,5.8,0.35,0.3893364036848263
50.0,20.0,0.4,293.0,80.0,5.8,0.35,0.30232508828667787
70.0,16.0,0.42,288.0,63.0,0.78,0.9,0.06297573812808376
50.0,20.0,0.4,303.0,80.0,5.8,0.35,0.30010533319080446
51.0,16.0,0.42,280.0,70.0,0.78,1.0,0.08158090865098433
65.0,20.0,0.45,287.0,75.0,12.25,16.0,0.07325139110719055
50.0,20.0,0.4,293.0,80.0,5.8,0.35,0.09531108889482073
50.0,20.0,0.5,313.0,80.0,5.8,0.35,0.31481146976677443
20.0,14.0,0.55,333.0,75.0,0.217,0.3,0.42983311517433437
51.0,16.0,0.44,299.0,70.0,2.45,0.9,0.16636238395491756
50.0,20.0,0.4,303.0,80.0,5.8,0.35,0.1266335319902466
50.0,20.0,0.4,303.0,80.0,5.8,0.35,0.26313396816958085
51.0,16.0,0.42,300.0,70.0,0.78,0.9,0.1371507099864351
51.0,16.0,0.41,295.0,70.0,1.43,1.0,0.08892712410706623
50.0,20.0,0.4,303.0,80.0,5.8,0.35,0.3038021923387719
51.0,16.0,0.42,301.0,70.0,0.63,0.9,0.11064741534181063
70.0,16.0,0.45,290.0,63.0,0.31,1.0,0.05826985151975719
50.0,20.0,0.4,293.0,80.0,5.8,0.35,0.2287287251527422
50.0,20.0,0.4,293.0,80.0,5.8,0.35,0.31481146976677443
20.0,14.0,0.55,313.0,85.0,0.217,0.3,0.48489285750284344
51.0,16.0,0.41,300.0,70.0,1.43,0.9,0.14928256404182624
20.0,14.0,0.63,303.0,55.0,0.228,0.3,0.3435904136096835
50.0,20.0,0.4,313.0,80.0,5.8,0.35,0.3414604888640534
51.0,16.0,0.45,299.0,70.0,0.31,0.9,0.5423248722205415
65.0,20.0,0.45,287.0,75.0,12.25,16.0,0.11956012236869192
70.0,20.0,0.4,303.0,80.0,5.8,0.35,0.35276802184815703
50.0,20.0,0.4,303.0,80.0,5.8,0.35,0.30010533319080446
70.0,16.0,0.44,292.0,75.0,2.45,0.9,0.14063199854909883
50.0,20.0,0.4,313.0,80.0,5.8,0.35,0.31408127676623493
51.0,16.0,0.44,306.0,70.0,2.45,1.0,0.1906211860545892
70.0,16.0,0.41,292.0,62.0,1.43,1.0,0.08065882552625406
70.0,20.0,0.4,313.0,80.0,5.8,0.35,0.440189188081346
51.0,16.0,0.41,295.0,70.0,1.43,1.0,0.07973589137946144
