Feature,Perturbation_%,Sample_Index,Original_Feature_Value,Perturbed_Feature_Value,Baseline_Prediction,Perturbed_Prediction,Actual_Value,Impact_on_Prediction_%,Baseline_Error_%,Perturbed_Error_%,Error_Change_%
Cover_Thickness_mm,-10.0,0,20.0,18.0,0.5435466844844884,0.5959350788233857,0.4820009999999999,9.638251107829607,12.768787717139283,23.637726648572478,10.868938931433195
Cover_Thickness_mm,-10.0,1,10.0,9.0,0.2431976931074724,0.2455448848456047,0.228001,0.965137336683132,6.665187041930694,7.6946525873152645,1.0294655453845705
Cover_Thickness_mm,-10.0,2,50.0,45.0,0.34481258947472704,0.3806452218840674,0.225001,10.391915348545218,53.24935865828464,69.17490228224203,15.925543623957388
Cover_Thickness_mm,-10.0,3,65.0,58.5,0.11182121349170218,0.09526664553512913,0.124001,-14.804496785220007,9.822329262100965,23.17267962747951,13.350350365378546
Cover_Thickness_mm,-10.0,4,65.0,58.5,0.11182121349170218,0.09526664553512913,0.043001,-14.804496785220007,160.04328618334966,121.5451862401552,-38.49809994319446
Cover_Thickness_mm,-10.0,5,65.0,58.5,0.11182121349170218,0.09526664553512913,0.047001,-14.804496785220007,137.91241354801426,102.69067793265916,-35.2217356153551
Cover_Thickness_mm,-10.0,6,70.0,63.0,0.15796835139928075,0.15722316764965955,0.129001,-0.4717297756293491,22.45513709140297,21.877479747955086,-0.5776573434478856
Cover_Thickness_mm,-10.0,7,51.0,45.9,0.08911383572510151,0.13219810122162245,0.064001,48.34744812177915,39.238192723709794,106.55630571650825,67.31811299279846
Cover_Thickness_mm,-10.0,8,65.0,58.5,0.11182121349170218,0.09526664553512913,0.230001,-14.804496785220007,51.382292471901344,58.57989941994637,7.197606948045028
Cover_Thickness_mm,-10.0,9,50.0,45.0,0.380202359391613,0.3803924591844028,0.4750009999999999,0.049999635218984095,19.95756653320454,19.917545608450745,-0.04002092475379726
Cover_Thickness_mm,-10.0,10,50.0,45.0,0.321926346274652,0.3914129449894207,0.4300009999999999,21.584626272087124,25.133581951053124,8.973945411889558,-16.159636539163564
Cover_Thickness_mm,-10.0,11,50.0,45.0,0.31947808965114904,0.34878825013305476,0.3480009999999999,9.17438830121673,8.196215053649517,0.22622065254262552,-7.9699944011068915
Cover_Thickness_mm,-10.0,12,70.0,63.0,0.26356669606396976,0.19567107142158413,0.254001,-25.76032012250395,3.7660072456288702,22.964448399185773,19.198441153556903
Cover_Thickness_mm,-10.0,13,50.0,45.0,0.3134904289744377,0.38480686395964525,0.3080009999999999,22.74915863253445,1.782276347946199,24.93688785414507,23.154611506198872
Cover_Thickness_mm,-10.0,14,70.0,63.0,0.055136223558347255,0.05932570329248747,0.052001,7.598416184065907,6.029160128357641,14.085696991379923,8.05653686302228
Cover_Thickness_mm,-10.0,15,51.0,45.9,0.13555278738176288,0.16214342874747184,0.137001,19.6164474957056,1.0570817864374218,18.352003815645016,17.294922029207594
Cover_Thickness_mm,-10.0,16,50.0,45.0,0.380202359391613,0.3803924591844028,0.3600009999999999,0.049999635218984095,5.611473132467163,5.664278483782792,0.052805351315629245
Cover_Thickness_mm,-10.0,17,50.0,45.0,0.321926346274652,0.3914129449894207,0.3500009999999999,21.584626272087124,8.021306717794493,11.83195047711887,3.8106437593243765
Cover_Thickness_mm,-10.0,18,51.0,45.9,0.09083998274249505,0.13299465469802815,0.085001,46.40541607656327,6.869310646339525,56.462458909928316,49.59314826358879
Cover_Thickness_mm,-10.0,19,20.0,18.0,0.2710360597582249,0.291268749748828,0.200001,7.464943966736914,35.51735229235099,45.63364670618046,10.116294413829465
Cover_Thickness_mm,-10.0,20,65.0,58.5,0.11182121349170218,0.09526664553512913,0.191001,-14.804496785220007,41.4551685636713,50.12243625157505,8.667267687903752
Cover_Thickness_mm,-10.0,21,20.0,18.0,0.3052649179485576,0.31623221396820594,0.256001,3.5927141884992277,19.243642778175715,23.52772605115057,4.284083272974854
Cover_Thickness_mm,-10.0,22,65.0,58.5,0.11182121349170218,0.09526664553512913,0.139001,-14.804496785220007,19.553662569548298,31.463338008266756,11.909675438718459
Cover_Thickness_mm,-10.0,23,51.0,45.9,0.20017119692634183,0.1991766996241761,0.216001,-0.496823377906698,7.328578605496348,7.788991891622671,0.4604132861263226
Cover_Thickness_mm,-10.0,24,50.0,45.0,0.3891749205539696,0.40971439181766317,0.4750009999999999,5.2776965263991595,18.068610265247923,13.744520155186354,-4.324090110061569
Cover_Thickness_mm,-10.0,25,70.0,63.0,0.07067466925325813,0.0747019929091803,0.094001,5.698397599132028,24.81498148609256,20.53064019618909,-4.28434128990347
